datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
3235,53,52.464516129032255,2.17088,2.1489465806451618
3236,0,0.0,0.0,0.0
3237,0,0.0,0.0,0.0
3238,0,0.0,0.0,0.0
3239,0,0.0,0.0,0.0
3240,0,0.0,0.0,0.0
3241,0,0.0,0.0,0.0
3242,0,0.0,0.0,0.0
3243,0,0.0,0.0,0.0
3244,0,0.0,0.0,0.0
3245,0,0.0,0.0,0.0
3246,29,29.348387096774193,1.18784,1.2021099354838711
3247,160,204.8516129032258,6.5536,8.39072206451613
3248,424,420.8,17.36704,17.235968
3249,631,632.6258064516129,25.84576,25.912353032258064
3250,808,812.0,33.09568,33.25952
3251,940,941.0516129032258,38.5024,38.54547406451613
3252,1009,1007.8451612903226,41.32864,41.28133780645162
3253,1017,1018.3806451612903,41.65632,41.71287122580645
3254,955,951.2516129032258,39.1168,38.963266064516134
3255,835,820.5612903225806,34.2016,33.61019045161291
3256,669,657.9483870967742,27.40224,26.94956593548388
3257,465,453.8258064516129,19.0464,18.588705032258066
3258,248,240.9806451612903,10.15808,9.87056722580645
3259,55,52.464516129032255,2.2528,2.1489465806451618
3260,0,0.0,0.0,0.0
3261,0,0.0,0.0,0.0
3262,0,0.0,0.0,0.0
3263,0,0.0,0.0,0.0
3264,0,0.0,0.0,0.0
3265,0,0.0,0.0,0.0
3266,0,0.0,0.0,0.0
3267,0,0.0,0.0,0.0
3268,0,0.0,0.0,0.0
3269,0,0.0,0.0,0.0
3270,23,29.348387096774193,0.94208,1.2021099354838711
3271,203,204.8516129032258,8.31488,8.39072206451613
3272,385,420.8,15.7696,17.235968
3273,622,632.6258064516129,25.47712,25.912353032258064
3274,798,812.0,32.68608,33.25952
3275,923,941.0516129032258,37.80608,38.54547406451613
3276,993,1007.8451612903226,40.67328,41.28133780645162
3277,1000,1018.3806451612903,40.96,41.71287122580645
3278,941,951.2516129032258,38.54336,38.963266064516134
3279,826,820.5612903225806,33.83296,33.61019045161291
3280,658,657.9483870967742,26.95168,26.94956593548388
3281,455,453.8258064516129,18.6368,18.588705032258066
3282,239,240.9806451612903,9.78944,9.87056722580645
3283,52,52.464516129032255,2.12992,2.1489465806451618
3284,0,0.0,0.0,0.0
3285,0,0.0,0.0,0.0
3286,0,0.0,0.0,0.0
3287,0,0.0,0.0,0.0
3288,0,0.0,0.0,0.0
3289,0,0.0,0.0,0.0
3290,0,0.0,0.0,0.0
3291,0,0.0,0.0,0.0
3292,0,0.0,0.0,0.0
3293,0,0.0,0.0,0.0
3294,20,29.348387096774193,0.8192,1.2021099354838711
3295,75,204.8516129032258,3.072,8.39072206451613
